ab_seed,ui_variant,algo_variant,events,ratings,likes,refreshes,filters,explanations,ctr_proxy,like_rate,duration_s
68a6698094abd114,B,A,332,35,30,54,13,0,0.2407,0.5556,531243.4
68a6698094abd114,B,B,631,115,22,76,11,0,0.1447,0.2895,531117.7
68a6698094abd114,A,B,129,27,1,0,0,0,0.0000,1.0000,531905.6
68a6698094abd114,A,A,272,90,6,1,0,0,0.0000,6.0000,524799.7
c8f36ef1be06dc99,A,B,99,31,15,0,0,0,0.0000,15.0000,19611.2
c8f36ef1be06dc99,A,A,4,0,0,0,0,0,0.0000,0.0000,7726.9
c8f36ef1be06dc99,B,B,151,31,15,21,61,0,2.9048,0.7143,8134.2
ced45a8b1a74b911,B,B,18,5,0,2,0,0,0.0000,0.0000,66579.3
ced45a8b1a74b911,A,A,1,0,0,0,0,0,0.0000,0.0000,0.0
c8f36ef1be06dc99,B,A,1,0,0,0,0,0,0.0000,0.0000,0.0
4c9d0b5bbce665a7,B,A,4,0,0,0,0,0,0.0000,0.0000,13.0
4c9d0b5bbce665a7,A,B,1,0,0,0,0,0,0.0000,0.0000,0.0
c80090ade2d03780,A,B,4,0,0,0,0,0,0.0000,0.0000,92.5
c80090ade2d03780,A,A,3,0,0,0,0,0,0.0000,0.0000,5.2
c80090ade2d03780,B,B,22,5,0,2,0,0,0.0000,0.0000,82.0
c80090ade2d03780,B,A,3,0,0,0,0,0,0.0000,0.0000,1843.7
4e04a32d647290c8,B,A,42,5,0,6,6,0,1.0000,0.0000,515.1
4e04a32d647290c8,B,B,25,5,0,2,3,0,1.5000,0.0000,1830.7
4e04a32d647290c8,A,B,16,2,0,0,0,0,0.0000,0.0000,1609.4
714ec2e6c3c06e78,A,B,2,0,0,0,0,0,0.0000,0.0000,49819.0
714ec2e6c3c06e78,A,A,1,0,0,0,0,0,0.0000,0.0000,0.0
7337c3ea5d256f6c,A,A,2,0,0,0,0,0,0.0000,0.0000,3.4
7337c3ea5d256f6c,B,B,15,1,0,1,0,0,0.0000,0.0000,484.2
7337c3ea5d256f6c,A,B,1,0,0,0,0,0,0.0000,0.0000,0.0
8fae3c1e4811c1a1,A,B,1,0,0,0,0,0,0.0000,0.0000,0.0
8fae3c1e4811c1a1,B,A,1,0,0,0,0,0,0.0000,0.0000,0.0
8fae3c1e4811c1a1,B,B,1,0,0,0,0,0,0.0000,0.0000,0.0
67f8678039fa050e,B,B,5,0,0,0,0,0,0.0000,0.0000,221.7
67f8678039fa050e,A,A,4,0,0,0,0,0,0.0000,0.0000,185.0
dc487911931ce087,A,A,27,10,0,0,0,0,0.0000,0.0000,139.6
dc487911931ce087,A,B,1,0,0,0,0,0,0.0000,0.0000,0.0
67f8678039fa050e,A,B,6,0,0,0,0,0,0.0000,0.0000,15.4
67f8678039fa050e,B,A,7,0,0,0,0,0,0.0000,0.0000,277.6
424b09d6184a38b3,B,A,1,0,0,0,0,0,0.0000,0.0000,0.0
424b09d6184a38b3,A,B,1,0,0,0,0,0,0.0000,0.0000,0.0
6af0eae5a34d81e1,A,B,5,0,0,0,0,0,0.0000,0.0000,169.4
7dc37b6bec1bf8b2,A,B,3,0,0,0,0,0,0.0000,0.0000,96.5
7dc37b6bec1bf8b2,B,B,26,5,3,5,0,0,0.0000,0.6000,155.2
7dc37b6bec1bf8b2,B,A,1,0,0,0,0,0,0.0000,0.0000,0.0
bb388eb027990bf6,B,A,2,0,0,0,0,0,0.0000,0.0000,7.7
6af0eae5a34d81e1,A,A,6,0,0,0,0,0,0.0000,0.0000,160.3
bb388eb027990bf6,A,A,21,11,0,0,0,0,0.0000,0.0000,55.1
bb388eb027990bf6,A,B,1,0,0,0,0,0,0.0000,0.0000,0.0
7c0c5a90b953c262,A,B,5,0,0,0,0,0,0.0000,0.0000,168.8
7c0c5a90b953c262,A,A,60,11,17,0,0,0,0.0000,17.0000,997.3
6af0eae5a34d81e1,B,B,1,0,0,0,0,0,0.0000,0.0000,0.0
7c0c5a90b953c262,B,B,2,0,0,0,0,0,0.0000,0.0000,848.3
3350bc0ecf889de9,A,B,2,0,0,0,0,0,0.0000,0.0000,7.0
3350bc0ecf889de9,A,A,9,0,5,0,0,0,0.0000,5.0000,44.8
3350bc0ecf889de9,B,A,4,0,0,0,0,0,0.0000,0.0000,156.5
3350bc0ecf889de9,B,B,20,6,0,7,2,0,0.2857,0.0000,42.0
1387c3149ef6df17,B,A,6,0,0,0,0,0,0.0000,0.0000,325.2
1387c3149ef6df17,B,B,56,14,2,7,0,0,0.0000,0.2857,316.5
1387c3149ef6df17,A,A,3,0,0,0,0,0,0.0000,0.0000,619.6
f7ea48873cae6b43,B,A,2,0,0,0,0,0,0.0000,0.0000,22.9
f7ea48873cae6b43,B,B,2,0,0,0,0,0,0.0000,0.0000,0.2
1387c3149ef6df17,A,B,1,0,0,0,0,0,0.0000,0.0000,0.0
